"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Ccser1",1.74612062943373e-33,0.587701614926964,0.994,0.971,5.63787428831561e-29
"6","Rbms3",1.94466870577486e-33,0.891668766220628,0.748,0.354,6.27894631720586e-29
"6","Hivep1",2.77210808882146e-33,0.650591479967268,0.723,0.299,8.95058259718673e-29
"6","Flna",4.2717295788881e-33,0.746445411501307,0.839,0.412,1.37925604643139e-28
"6","Rims1",7.92290503583644e-33,0.59360874936303,0.994,0.979,2.55814757797087e-28
"6","Bcl2",1.66689096323338e-32,0.733668528983225,0.794,0.385,5.38205754208794e-28
"6","Chrna4",3.11036677938254e-32,0.259225142179911,0.258,0.042,1.00427522572704e-27
"6","Plxna2",3.34780836102204e-32,0.795997061843394,0.994,0.832,1.0809403636068e-27
"6","Pamr1",1.17639367862831e-31,0.352060659274179,0.394,0.094,3.79833990955509e-27
"6","Slc24a2",1.30975130472837e-31,0.634213847930418,0.974,0.528,4.22892501270696e-27
"6","Rock2",1.4157133354534e-31,0.641548676795833,0.987,0.926,4.57105521751194e-27
"6","Fgfr1",3.60289570268059e-31,0.304786491094262,0.335,0.072,1.16330296448151e-26
"6","Spred3",3.83269004987894e-31,0.503772896257143,0.652,0.238,1.23749896330491e-26
"6","Tenm1",4.91183530570354e-31,0.699189855053772,1,0.926,1.58593338350556e-26
"6","Pcp4",6.3198581879785e-31,0.597197780116425,0.723,0.31,2.0405558117345e-26
"6","Klhl29",6.34452660661367e-31,0.740531901792032,0.968,0.827,2.04852075074342e-26
"6","Atxn1",6.97316864160952e-31,0.650166367899712,1,0.965,2.25149669100288e-26
"6","Skap1",8.95559788274244e-31,0.438985070239936,0.329,0.071,2.89158344437988e-26
"6","Ntm",2.11581838435204e-30,0.756014066258178,0.994,0.89,6.83155439939588e-26
"6","Ext1",2.11641541962056e-30,0.696853854625101,0.987,0.917,6.83348210687086e-26
"6","Traip",3.56678803550474e-30,0.851718843921972,0.916,0.606,1.15164452090377e-25
"6","Ptp4a3",3.84133496509194e-30,0.431404268210799,0.561,0.186,1.24029023352889e-25
"6","Osbp2",4.03150719260005e-30,0.682218045929812,0.935,0.627,1.30169304234671e-25
"6","Lurap1l",4.48355021655567e-30,0.460137097650813,0.497,0.154,1.4476486939215e-25
"6","Gm28905",4.65566053999065e-30,0.662146172723152,0.619,0.237,1.50321967515218e-25
"6","Ptk2",1.12271081810823e-29,0.603280612398137,0.987,0.944,3.62500868950784e-25
